Station;Temperatus;Ph;Conductivity;Derajat_Keasaman
JDS3;21;8.00;487;Basa
JDS4;21;7.90;492;Basa
JDS5;21;8.00;497;Basa
JDS6;18;8.10;377;Basa
JDS7;20;8.20;371;Basa
JDS8;21;8.20;320;Basa
JDS9;22;8.50;385;Basa
JDS10;21;8.40;374;Basa
JDS11;20;8.30;384;Basa
JDS12;21;8.20;580;Basa
JDS13;21;8.30;378;Basa
JDS14;20;8.30;386;Basa
JDS15;20;8.30;389;Basa
JDS16;20;8.10;456;Basa
JDS17;21;8.30;388;Basa
JDS18;22;8.30;476;Basa
JDS19;21;8.30;387;Basa
JDS20;21;8.30;395;Basa
JDS21;21;8.30;391;Basa
JDS22;21;8.20;394;Basa
JDS23;23;7.90;358;Basa
JDS24;21;8.00;395;Basa
JDS25;21;8.10;396;Basa
JDS26;22;8.10;396;Basa
JDS27;22;8.10;397;Basa
JDS28;22;8.20;398;Basa
JDS29;21;8.20;295;Basa
JDS30;22;8.20;375;Basa
JDS31;22;8.30;376;Basa
JDS32;22;8.20;377;Basa
JDS33;21;8.10;377;Basa
JDS34;21;8.10;377;Basa
JDS35;24;7.80;472;Basa
JDS36;21;8.10;378;Basa
JDS37;24;8.10;400;Basa
JDS38;21;8.00;384;Basa
JDS39;21;8.00;381;Basa
JDS40;21;7.90;383;Basa
JDS41;22;7.60;428;Basa
JDS42;22;7.90;383;Basa
JDS43;22;7.80;383;Basa
JDS44;21;7.90;385;Basa
JDS45;22;8.00;386;Basa
JDS46;22;7.90;388;Basa
JDS47;23;7.90;386;Basa
JDS49;22;7.90;388;Basa
JDS50;22;8.20;380;Basa
JDS51;21;8.00;391;Basa
JDS52;22;8.30;375;Basa
JDS54;19;8.10;418;Basa
JDS55;21;8.10;395;Basa
JDS56;18;8.40;822;Basa
JDS57;21;8.10;381;Basa
JDS58;21;7.80;489;Basa
JDS59;20;8.20;383;Basa
JDS60;20;8.20;386;Basa
JDS61;20;8.20;393;Basa
JDS62;20;8.10;391;Basa
JDS63;17;8.30;678;Basa
JDS64;17;8.20;587;Basa
JDS65;18;8.20;402;Basa
JDS66;20;8.20;399;Basa
JDS67;19;8.20;408;Basa
JDS68;19;8.20;407;Basa
